Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Transfer_fee
Rudy Gestede,Centre-Forward,28,Aston Villa,Championship,Middlesbrough,Premier League,2016-2017,7100000
Arthur Masuaku,Left-Back,22,Olympiacos,Super League,West Ham,Premier League,2016-2017,7100000
Denis Cheryshev,Left Winger,25,Real Madrid,LaLiga,Villarreal CF,LaLiga,2016-2017,7000000
Gerónimo Rulli,Goalkeeper,24,Man City,Premier League,Real Sociedad,LaLiga,2016-2017,7000000
Anwar El Ghazi,Left Winger,21,AFC Ajax,Eredivisie,LOSC Lille,Ligue 1,2016-2017,7000000
Leo Baptistão,Centre-Forward,23,Atlético Madrid,LaLiga,Espanyol,LaLiga,2016-2017,7000000
Lewis Cook,Central Midfield,19,Leeds,Championship,Bournemouth,Premier League,2016-2017,7000000
Christian Kabasele,Centre-Back,25,KRC Genk,Jupiler Pro League,Watford,Premier League,2016-2017,6950000
Patrick Bamford,Centre-Forward,23,Chelsea,Premier League,Middlesbrough,Premier League,2016-2017,6900000
Matt Phillips,Right Winger,25,QPR,Championship,West Brom,Premier League,2016-2017,6500000
Hiroshi Kiyotake,Attacking Midfield,26,Hannover 96,2.Bundesliga,Sevilla FC,LaLiga,2016-2017,6500000
Simone Verdi,Right Winger,24,AC Milan,Serie A,Bologna,Serie A,2016-2017,6500000
Lys Mousset,Centre-Forward,20,AC Le Havre,Ligue 2,Bournemouth,Premier League,2016-2017,6500000
Edimilson Fernandes,Central Midfield,20,FC Sion,Super League,West Ham,Premier League,2016-2017,6400000
Loris Karius,Goalkeeper,23,1.FSV Mainz 05,1.Bundesliga,Liverpool,Premier League,2016-2017,6200000
Neymar,Left Winger,25,FC Barcelona,LaLiga,Paris SG,Ligue 1,2017-2018,222000000
Philippe Coutinho,Attacking Midfield,25,Liverpool,Premier League,FC Barcelona,LaLiga,2017-2018,125000000
Ousmane Dembélé,Right Winger,20,Bor. Dortmund,1.Bundesliga,FC Barcelona,LaLiga,2017-2018,115000000
Romelu Lukaku,Centre-Forward,24,Everton,Premier League,Man Utd,Premier League,2017-2018,84700000
Virgil van Dijk,Centre-Back,26,Southampton,Premier League,Liverpool,Premier League,2017-2018,78800000
Diego Costa,Centre-Forward,29,Chelsea,Premier League,Atlético Madrid,LaLiga,2017-2018,66000000
Álvaro Morata,Centre-Forward,24,Real Madrid,LaLiga,Chelsea,Premier League,2017-2018,66000000
Aymeric Laporte,Centre-Back,23,Athletic Bilbao,LaLiga,Man City,Premier League,2017-2018,65000000
Pierre-Emerick Aubameyang,Centre-Forward,28,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2017-2018,63750000
Benjamin Mendy,Left-Back,23,Monaco,Ligue 1,Man City,Premier League,2017-2018,57500000
Alexandre Lacazette,Centre-Forward,26,Olympique Lyon,Ligue 1,Arsenal,Premier League,2017-2018,53000000
Kyle Walker,Right-Back,27,Spurs,Premier League,Man City,Premier League,2017-2018,52700000
Bernardo Silva,Right Winger,22,Monaco,Ligue 1,Man City,Premier League,2017-2018,50000000
Gylfi Sigurdsson,Attacking Midfield,27,Swansea,Premier League,Everton,Premier League,2017-2018,49400000
Nemanja Matic,Defensive Midfield,29,Chelsea,Premier League,Man Utd,Premier League,2017-2018,44700000
Leonardo Bonucci,Centre-Back,30,Juventus,Serie A,AC Milan,Serie A,2017-2018,42000000
Mohamed Salah,Right Winger,25,AS Roma,Serie A,Liverpool,Premier League,2017-2018,42000000
Federico Bernardeschi,Right Winger,23,Fiorentina,Serie A,Juventus,Serie A,2017-2018,40000000
Ederson,Goalkeeper,23,Benfica,Liga NOS,Man City,Premier League,2017-2018,40000000
Tiemoué Bakayoko,Defensive Midfield,22,Monaco,Ligue 1,Chelsea,Premier League,2017-2018,40000000
Paulinho,Central Midfield,29,GZ Evergrande,Super League,FC Barcelona,LaLiga,2017-2018,40000000
Davinson Sánchez,Centre-Back,21,AFC Ajax,Eredivisie,Spurs,Premier League,2017-2018,40000000
André Silva,Centre-Forward,21,FC Porto,Liga NOS,AC Milan,Serie A,2017-2018,38000000
Alex Oxlade-Chamberlain,Right Midfield,24,Arsenal,Premier League,Liverpool,Premier League,2017-2018,38000000
Danny Drinkwater,Central Midfield,27,Leicester,Premier League,Chelsea,Premier League,2017-2018,37900000
Vitolo,Left Winger,27,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,2017-2018,36000000
Antonio Rüdiger,Centre-Back,24,AS Roma,Serie A,Chelsea,Premier League,2017-2018,35000000
Victor Lindelöf,Centre-Back,22,Benfica,Liga NOS,Man Utd,Premier League,2017-2018,35000000
Iñigo Martínez,Centre-Back,26,Real Sociedad,LaLiga,Athletic Bilbao,LaLiga,2017-2018,32000000
Nélson Semedo,Right-Back,23,Benfica,Liga NOS,FC Barcelona,LaLiga,2017-2018,30570000
Keita Baldé,Left Winger,22,Lazio,Serie A,Monaco,Ligue 1,2017-2018,30000000
Danilo,Right-Back,26,Real Madrid,LaLiga,Man City,Premier League,2017-2018,30000000
Michael Keane,Centre-Back,24,Burnley,Premier League,Everton,Premier League,2017-2018,28500000
Jordan Pickford,Goalkeeper,23,Sunderland,Championship,Everton,Premier League,2017-2018,28500000
Lucas Moura,Right Winger,25,Paris SG,Ligue 1,Spurs,Premier League,2017-2018,28400000
Mamadou Sakho,Centre-Back,27,Liverpool,Premier League,Crystal Palace,Premier League,2017-2018,28200000
Kelechi Iheanacho,Centre-Forward,20,Man City,Premier League,Leicester,Premier League,2017-2018,27700000
Davy Klaassen,Attacking Midfield,24,AFC Ajax,Eredivisie,Everton,Premier League,2017-2018,27000000
Milan Skriniar,Centre-Back,22,Sampdoria,Serie A,Inter,Serie A,2017-2018,27000000
Youri Tielemans,Central Midfield,20,RSC Anderlecht,Jupiler Pro League,Monaco,Ligue 1,2017-2018,25000000
Serge Aurier,Right-Back,24,Paris SG,Ligue 1,Spurs,Premier League,2017-2018,25000000
Davide Zappacosta,Right-Back,25,Torino,Serie A,Chelsea,Premier League,2017-2018,25000000
Adrien Silva,Central Midfield,28,Sporting CP,Liga NOS,Leicester,Premier League,2017-2018,24500000
Theo Hernández,Left-Back,19,Atlético Madrid,LaLiga,Real Madrid,LaLiga,2017-2018,24000000
Matías Vecino,Central Midfield,25,Fiorentina,Serie A,Inter,Serie A,2017-2018,24000000
Andrea Conti,Right-Back,23,Atalanta,Serie A,AC Milan,Serie A,2017-2018,24000000
André Ayew,Left Winger,28,West Ham,Premier League,Swansea,Premier League,2017-2018,22800000
Nathan Aké,Centre-Back,22,Chelsea,Premier League,Bournemouth,Premier League,2017-2018,22800000
Theo Walcott,Right Winger,28,Arsenal,Premier League,Everton,Premier League,2017-2018,22500000
Cenk Tosun,Centre-Forward,26,Besiktas,Süper Lig,Everton,Premier League,2017-2018,22500000
Marko Arnautovic,Left Winger,28,Stoke City,Premier League,West Ham,Premier League,2017-2018,22300000
Hakan Calhanoglu,Left Winger,23,Bay. Leverkusen,1.Bundesliga,AC Milan,Serie A,2017-2018,22000000
Guido Carrillo,Centre-Forward,26,Monaco,Ligue 1,Southampton,Premier League,2017-2018,22000000
Luis Muriel,Centre-Forward,26,Sampdoria,Serie A,Sevilla FC,LaLiga,2017-2018,21500000
Pietro Pellegri,Centre-Forward,16,Genoa,Serie A,Monaco,Ligue 1,2017-2018,21000000
Andre Gray,Centre-Forward,26,Burnley,Premier League,Watford,Premier League,2017-2018,20400000
Blaise Matuidi,Central Midfield,30,Paris SG,Ligue 1,Juventus,Serie A,2017-2018,20000000
Juan Cuadrado,Right Winger,29,Chelsea,Premier League,Juventus,Serie A,2017-2018,20000000
Roberto Gagliardini,Central Midfield,23,Atalanta,Serie A,Inter,Serie A,2017-2018,20000000
Emerson,Left-Back,23,AS Roma,Serie A,Chelsea,Premier League,2017-2018,20000000
Nikola Maksimovic,Centre-Back,25,Torino,Serie A,SSC Napoli,Serie A,2017-2018,20000000
Dalbert,Left-Back,23,OGC Nice,Ligue 1,Inter,Serie A,2017-2018,20000000
Kevin Wimmer,Centre-Back,24,Spurs,Premier League,Stoke City,Premier League,2017-2018,19400000
Mateo Musacchio,Centre-Back,26,Villarreal CF,LaLiga,AC Milan,Serie A,2017-2018,18000000
Chicharito,Centre-Forward,29,Bay. Leverkusen,1.Bundesliga,West Ham,Premier League,2017-2018,17800000
Lucas Biglia,Defensive Midfield,31,Lazio,Serie A,AC Milan,Serie A,2017-2018,17000000
Olivier Giroud,Centre-Forward,31,Arsenal,Premier League,Chelsea,Premier League,2017-2018,17000000
Medhi Benatia,Centre-Back,30,Bayern Munich ,1.Bundesliga,Juventus,Serie A,2017-2018,17000000
Jürgen Locadia,Centre-Forward,24,PSV Eindhoven,Eredivisie,Brighton,Premier League,2017-2018,17000000
Mario Lemina,Defensive Midfield,23,Juventus,Serie A,Southampton,Premier League,2017-2018,17000000
Ismaïla Sarr,Left Winger,19,FC Metz,Ligue 1,Stade Rennais,Ligue 1,2017-2018,17000000
Ross Barkley,Attacking Midfield,24,Everton,Premier League,Chelsea,Premier League,2017-2018,16900000
Dani Ceballos,Central Midfield,20,Real Betis,LaLiga,Real Madrid,LaLiga,2017-2018,16500000
Wesley Hoedt,Centre-Back,23,Lazio,Serie A,Southampton,Premier League,2017-2018,16400000
Chris Wood,Centre-Forward,25,Leeds,Championship,Burnley,Premier League,2017-2018,16400000
Sam Clucas,Left Midfield,26,Hull City,Championship,Swansea,Premier League,2017-2018,16300000
Simone Zaza,Centre-Forward,26,Juventus,Serie A,Valencia CF,LaLiga,2017-2018,16000000
Yuri Berchiche,Left-Back,27,Real Sociedad,LaLiga,Paris SG,Ligue 1,2017-2018,16000000
Badou Ndiaye,Central Midfield,27,Galatasaray,Süper Lig,Stoke City,Premier League,2017-2018,16000000
Oliver Burke,Right Winger,20,RB Leipzig,1.Bundesliga,West Brom,Premier League,2017-2018,15200000
Fernando Llorente,Centre-Forward,32,Swansea,Premier League,Spurs,Premier League,2017-2018,15100000
Ricardo Rodríguez,Left-Back,24,VfL Wolfsburg,1.Bundesliga,AC Milan,Serie A,2017-2018,15000000
José Izquierdo,Left Winger,25,Club Brugge,Jupiler Pro League,Brighton,Premier League,2017-2018,15000000
Konstantinos Mitroglou,Centre-Forward,29,Benfica,Liga NOS,Marseille,Ligue 1,2017-2018,15000000
Terence Kongolo,Centre-Back,23,Feyenoord,Eredivisie,Monaco,Ligue 1,2017-2018,15000000
Giovanni Simeone,Centre-Forward,22,Genoa,Serie A,Fiorentina,Serie A,2017-2018,15000000
Vicente Iborra,Defensive Midfield,29,Sevilla FC,LaLiga,Leicester,Premier League,2017-2018,15000000
Gianluca Caprari,Second Striker,23,Inter,Serie A,Sampdoria,Serie A,2017-2018,15000000
Francis Coquelin,Defensive Midfield,26,Arsenal,Premier League,Valencia CF,LaLiga,2017-2018,14000000
Enes Ünal,Centre-Forward,20,Man City,Premier League,Villarreal CF,LaLiga,2017-2018,14000000
Rúben Semedo,Centre-Back,23,Sporting CP,Liga NOS,Villarreal CF,LaLiga,2017-2018,14000000
Rick Karsdorp,Right-Back,22,Feyenoord,Eredivisie,AS Roma,Serie A,2017-2018,14000000
Thiago Maia,Central Midfield,20,Santos FC,Série A,LOSC Lille,Ligue 1,2017-2018,14000000
Jay Rodríguez,Centre-Forward,27,Southampton,Premier League,West Brom,Premier League,2017-2018,13700000
Harry Maguire,Centre-Back,24,Hull City,Championship,Leicester,Premier League,2017-2018,13700000
Marten de Roon,Central Midfield,26,Middlesbrough,Championship,Atalanta,Serie A,2017-2018,13500000
Cengiz Ünder,Right Winger,20,Basaksehir,Süper Lig,AS Roma,Serie A,2017-2018,13400000
Wilfried Bony,Centre-Forward,28,Man City,Premier League,Swansea,Premier League,2017-2018,13000000
Marko Rog,Central Midfield,21,Dinamo Zagreb,1.HNL,SSC Napoli,Serie A,2017-2018,13000000
Davy Pröpper,Central Midfield,25,PSV Eindhoven,Eredivisie,Brighton,Premier League,2017-2018,13000000
Steve Mounié,Centre-Forward,22,Montpellier,Ligue 1,Huddersfield,Premier League,2017-2018,13000000
Emre Mor,Left Winger,20,Bor. Dortmund,1.Bundesliga,Celta de Vigo,LaLiga,2017-2018,13000000
Juan Foyth,Centre-Back,19,Estudiantes,Primera División,Spurs,Premier League,2017-2018,13000000
Roque Mesa,Central Midfield,28,UD Las Palmas,LaLiga,Swansea,Premier League,2017-2018,12500000
Bruno Peres,Right-Back,27,Torino,Serie A,AS Roma,Serie A,2017-2018,12500000
Simon Kjær,Centre-Back,28,Fenerbahce,Süper Lig,Sevilla FC,LaLiga,2017-2018,12500000
Richarlison,Left Winger,20,Fluminense,Série A,Watford,Premier League,2017-2018,12400000
Alex Pritchard,Attacking Midfield,24,Norwich,Championship,Huddersfield,Premier League,2017-2018,12350000
Wojciech Szczesny,Goalkeeper,27,Arsenal,Premier League,Juventus,Serie A,2017-2018,12200000
Gerard Deulofeu,Right Winger,23,Everton,Premier League,FC Barcelona,LaLiga,2017-2018,12000000
Pablo Fornals,Attacking Midfield,21,Málaga CF,LaLiga,Villarreal CF,LaLiga,2017-2018,12000000
Mattia De Sciglio,Right-Back,24,AC Milan,Serie A,Juventus,Serie A,2017-2018,12000000
Douglas Luiz,Central Midfield,19,Vasco da Gama,Série A,Man City,Premier League,2017-2018,12000000
Yerry Mina,Centre-Back,23,Palmeiras,Série A,FC Barcelona,LaLiga,2017-2018,11800000
Asmir Begovic,Goalkeeper,30,Chelsea,Premier League,Bournemouth,Premier League,2017-2018,11500000
Jacob Murphy,Right Winger,22,Norwich,Championship,Newcastle,Premier League,2017-2018,11300000
Florian Thauvin,Right Winger,24,Newcastle,Premier League,Marseille,Ligue 1,2017-2018,11000000
Gabriel Paulista,Centre-Back,26,Arsenal,Premier League,Valencia CF,LaLiga,2017-2018,11000000
Martin Terrier,Left Winger,20,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2017-2018,11000000
Guilherme Arana,Left-Back,20,Corinthians,Série A,Sevilla FC,LaLiga,2017-2018,11000000
Stevan Jovetic,Centre-Forward,27,Inter,Serie A,Monaco,Ligue 1,2017-2018,11000000
Nikola Vlasic,Attacking Midfield,19,Hajduk Split,1.HNL,Everton,Premier League,2017-2018,10800000
Marc Bartra,Centre-Back,27,Bor. Dortmund,1.Bundesliga,Real Betis,LaLiga,2017-2018,10500000
Rodrigo Bentancur,Central Midfield,20,Boca Juniors,Primera División,Juventus,Serie A,2017-2018,10500000
Luiz Araújo,Right Winger,21,São Paulo,Série A,LOSC Lille,Ligue 1,2017-2018,10500000
Jordan Hugill,Centre-Forward,25,Preston NE,Championship,West Ham,Premier League,2017-2018,10200000
Luiz Gustavo,Defensive Midfield,29,VfL Wolfsburg,1.Bundesliga,Marseille,Ligue 1,2017-2018,10000000
Lorenzo Pellegrini,Central Midfield,21,Sassuolo,Serie A,AS Roma,Serie A,2017-2018,10000000
Marco Benassi,Central Midfield,22,Torino,Serie A,Fiorentina,Serie A,2017-2018,10000000
Diafra Sakho,Centre-Forward,28,West Ham,Premier League,Stade Rennais,Ligue 1,2017-2018,10000000
Bertrand Traoré,Right Winger,21,Chelsea,Premier League,Olympique Lyon,Ligue 1,2017-2018,10000000
Florian Lejeune,Centre-Back,26,SD Eibar,LaLiga,Newcastle,Premier League,2017-2018,10000000
Roberto Inglese,Centre-Forward,25,Chievo Verona,Serie A,SSC Napoli,Serie A,2017-2018,10000000
Adam Ounas,Left Winger,20,G. Bordeaux,Ligue 1,SSC Napoli,Serie A,2017-2018,10000000
Loïs Diony,Centre-Forward,24,Dijon,Ligue 1,Saint-Étienne,Ligue 1,2017-2018,10000000
Nicolas Pépé,Right Winger,22,SCO Angers,Ligue 1,LOSC Lille,Ligue 1,2017-2018,10000000
Allan Saint-Maximin,Right Winger,20,Monaco,Ligue 1,OGC Nice,Ligue 1,2017-2018,10000000
Adama Diakhaby,Centre-Forward,21,Stade Rennais,Ligue 1,Monaco,Ligue 1,2017-2018,10000000
Pape Cheikh,Central Midfield,20,Celta de Vigo,LaLiga,Olympique Lyon,Ligue 1,2017-2018,10000000
Tom Cleverley,Central Midfield,27,Everton,Premier League,Watford,Premier League,2017-2018,9300000
Will Hughes,Central Midfield,22,Derby,Championship,Watford,Premier League,2017-2018,9100000
Tom Ince,Right Winger,25,Derby,Championship,Huddersfield,Premier League,2017-2018,9100000
Aaron Mooy,Central Midfield,26,Man City,Premier League,Huddersfield,Premier League,2017-2018,9100000
Jack Cork,Defensive Midfield,28,Swansea,Premier League,Burnley,Premier League,2017-2018,9100000
Andrew Robertson,Left-Back,23,Hull City,Championship,Liverpool,Premier League,2017-2018,9000000
Gastón Ramírez,Attacking Midfield,26,Middlesbrough,Championship,Sampdoria,Serie A,2017-2018,9000000
Jairo Riedewald,Centre-Back,20,AFC Ajax,Eredivisie,Crystal Palace,Premier League,2017-2018,9000000
Thiago Mendes,Defensive Midfield,25,São Paulo,Série A,LOSC Lille,Ligue 1,2017-2018,9000000
Kévin Malcuit,Right-Back,25,Saint-Étienne,Ligue 1,LOSC Lille,Ligue 1,2017-2018,9000000
Guido Pizarro,Defensive Midfield,27,Tigres UANL,Liga MX Clausura,Sevilla FC,LaLiga,2017-2018,8700000
Adnan Januzaj,Right Winger,22,Man Utd,Premier League,Real Sociedad,LaLiga,2017-2018,8500000
Valère Germain,Centre-Forward,27,Monaco,Ligue 1,Marseille,Ligue 1,2017-2018,8000000
Juan Jesus,Centre-Back,26,Inter,Serie A,AS Roma,Serie A,2017-2018,8000000
Soualiho Meïté,Defensive Midfield,23,Zulte Waregem,Jupiler Pro League,Monaco,Ligue 1,2017-2018,8000000
Henry Onyekuru,Left Winger,20,KAS Eupen,Jupiler Pro League,Everton,Premier League,2017-2018,8000000
Nicolas de Préville,Centre-Forward,26,LOSC Lille,Ligue 1,G. Bordeaux,Ligue 1,2017-2018,8000000
Mariano Díaz,Centre-Forward,23,Real Madrid,LaLiga,Olympique Lyon,Ligue 1,2017-2018,8000000
Vitor Hugo,Centre-Back,26,Palmeiras,Série A,Fiorentina,Serie A,2017-2018,8000000
Alessandro Bastoni,Centre-Back,18,Atalanta,Serie A,Inter,Serie A,2017-2018,8000000
Rafik Guitane,Attacking Midfield,18,AC Le Havre,Ligue 2,Stade Rennais,Ligue 1,2017-2018,8000000
Alexander Sörloth,Centre-Forward,22,FC Midtjylland,Superligaen Championship round,Crystal Palace,Premier League,2017-2018,7800000
Bruno Martins Indi,Centre-Back,25,FC Porto,Liga NOS,Stoke City,Premier League,2017-2018,7700000
Filippo Romagna,Centre-Back,20,Juventus,Serie A,Cagliari Calcio,Serie A,2017-2018,7600000
Jonathan Cafú,Right Winger,26,Ludogorets,A Grupa - Championship gr.,G. Bordeaux,Ligue 1,2017-2018,7500000
Kieran Gibbs,Left-Back,27,Arsenal,Premier League,West Brom,Premier League,2017-2018,7500000
Christian Atsu,Left Winger,25,Chelsea,Premier League,Newcastle,Premier League,2017-2018,7500000
Yuning Zhang,Centre-Forward,20,Vitesse,Eredivisie,West Brom,Premier League,2017-2018,7200000
Éver Banega,Central Midfield,29,Inter,Serie A,Sevilla FC,LaLiga,2017-2018,7000000
Nolito,Left Winger,30,Man City,Premier League,Sevilla FC,LaLiga,2017-2018,7000000
Ryad Boudebouz,Attacking Midfield,27,Montpellier,Ligue 1,Real Betis,LaLiga,2017-2018,7000000
Jordan Veretout,Central Midfield,24,Aston Villa,Championship,Fiorentina,Serie A,2017-2018,7000000
Diego Llorente,Centre-Back,23,Real Madrid,LaLiga,Real Sociedad,LaLiga,2017-2018,7000000
Clinton N'Jie,Centre-Forward,23,Spurs,Premier League,Marseille,Ligue 1,2017-2018,7000000
Marcelo,Centre-Back,30,Besiktas,Süper Lig,Olympique Lyon,Ligue 1,2017-2018,7000000
Víctor Camarasa,Central Midfield,23,Levante UD,LaLiga,Real Betis,LaLiga,2017-2018,7000000
Kylian Mbappé,Right Winger,19,Monaco,Ligue 1,Paris SG,Ligue 1,2018-2019,135000000
Cristiano Ronaldo,Centre-Forward,33,Real Madrid,LaLiga,Juventus,Serie A,2018-2019,117000000
Thomas Lemar,Left Winger,22,Monaco,Ligue 1,Atlético Madrid,LaLiga,2018-2019,70000000
Riyad Mahrez,Right Winger,27,Leicester,Premier League,Man City,Premier League,2018-2019,67800000
Alisson,Goalkeeper,25,AS Roma,Serie A,Liverpool,Premier League,2018-2019,62500000
Naby Keïta,Central Midfield,23,RB Leipzig,1.Bundesliga,Liverpool,Premier League,2018-2019,60000000
Fred,Central Midfield,25,Shakhtar D.,Premier Liga,Man Utd,Premier League,2018-2019,59000000
Jorginho,Defensive Midfield,26,SSC Napoli,Serie A,Chelsea,Premier League,2018-2019,57000000
Fabinho,Defensive Midfield,24,Monaco,Ligue 1,Liverpool,Premier League,2018-2019,45000000
Vinícius Júnior,Left Winger,18,Flamengo,Série A,Real Madrid,LaLiga,2018-2019,45000000
Malcom,Right Winger,21,G. Bordeaux,Ligue 1,FC Barcelona,LaLiga,2018-2019,41000000
João Cancelo,Right-Back,24,Valencia CF,LaLiga,Juventus,Serie A,2018-2019,40400000
Douglas Costa,Right Winger,27,Bayern Munich ,1.Bundesliga,Juventus,Serie A,2018-2019,40000000
Richarlison,Left Winger,21,Watford,Premier League,Everton,Premier League,2018-2019,39200000
Radja Nainggolan,Central Midfield,30,AS Roma,Serie A,Inter,Serie A,2018-2019,38000000
Felipe Anderson,Right Winger,25,Lazio,Serie A,West Ham,Premier League,2018-2019,38000000
Clément Lenglet,Centre-Back,23,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2018-2019,35900000
Arthur,Central Midfield,21,Grêmio,Série A,FC Barcelona,LaLiga,2018-2019,31000000
Jean Michaël Seri,Central Midfield,27,OGC Nice,Ligue 1,Fulham,Premier League,2018-2019,30000000
Lucas Torreira,Defensive Midfield,22,Sampdoria,Serie A,Arsenal,Premier League,2018-2019,30000000
Aleksandr Golovin,Central Midfield,22,CSKA Moscow,Premier Liga,Monaco,Ligue 1,2018-2019,30000000
Álvaro Odriozola,Right-Back,22,Real Sociedad,LaLiga,Real Madrid,LaLiga,2018-2019,30000000
Fabián Ruiz,Central Midfield,22,Real Betis,LaLiga,SSC Napoli,Serie A,2018-2019,30000000
